"","Checked","Ion","Charge","Molecular.Weight","m.z","RT..min.","FWHM..min.","X..MI","Area","Parent.Area....","Study.File.ID","X.","beginNum","scanNum","tr","pepmass","endNum","productIon","intensity","neutralLoss","Hex","dHex","Pen","HexA","Mal","Cou","Fur","Sin","DDMP","Caf","mzOfChain","ppm","numOfSugar","k.radio","lable","Algycone"
"1761","false","[M-H]-1","-1","NA","431.098358154296","63.7666666666667","0.142","3","227241.644436151","100","F2","","65194","766","3826","431.0983581542969","65954","269.0451","0.6263725","162.0533",1,0,0,0,0,0,0,0,0,0,162.0528233,2.77596550903861,1,1,"Biggest NL (One)","Trihydroxyflavone / Baicalein / Lucidin / Emodin / Genistein / 8-[(2S,3R,4R,5S,6R)-3,4-Dihydroxy-6-(Hydroxymethyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxyoxan-2-Yl]-5,7-Dihydroxy-2-(4-Hydroxyphenyl)Chromen-4-One-Aglycone / Pelargonidin"
"177","...","...","...","...","...","...","...","...","...","...","...","...","65194","766","3826","431.0983581542969","65954","285.0405","0.1815902","146.0578",0,1,0,0,0,0,0,0,0,0,146.0579087,0.592544115799951,1,1," ","Isoorientin / 4-(3,4-Dihydroxyphenyl)-7-Hydroxy-5-[3,4,5-Trihydroxy-6-[(3,4,5-Trihydroxyoxan-2-Yl)Oxymethyl]Oxan-2-Yl]Oxychromen-2-One-Aglycone / Kaempferol / 7,8,3',4'-Tetrahydroxyflavone / Cyanidin-H"
"1771","false","[M-H]-1","-1","NA","431.098358154296","64.0166666666667","0.142","3","227241.644436151","100","F2","","65955","769","3841","431.0983581542969","66632","93.03328","0.02992841","338.0651",0,0,0,1,0,0,0,0,0,1,338.0637831,3.82191001639481,2,0.5," ","No matched algycone"
"178","...","...","...","...","...","...","...","...","...","...","...","...","65955","769","3841","431.0983581542969","66632","107.0126","0.02451518","324.0857",1,0,0,0,0,0,0,0,0,1,324.0845186,3.71986239153973,2,1,"Biggest NL (One)","No matched algycone"
"224","...","...","...","...","...","...","...","...","...","...","...","...","65955","769","3841","431.0983581542969","66632","137.0233","0.02798743","294.0751",0,0,1,0,0,0,0,0,0,1,294.0739539,3.7754112206393,2,0.5," ","3,4-Dihydroxybenzaldehyde / Gentisate Aldehyde / Salicylic Acid / P-Hydroxybenzoic Acid"
"316","...","...","...","...","...","...","...","...","...","...","...","...","65955","769","3841","431.0983581542969","66632","269.0452","0.6178771","162.0532",1,0,0,0,0,0,0,0,0,0,162.0528233,2.31315581015693,1,1," ","Trihydroxyflavone / Baicalein / Lucidin / Emodin / Genistein / 8-[(2S,3R,4R,5S,6R)-3,4-Dihydroxy-6-(Hydroxymethyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxyoxan-2-Yl]-5,7-Dihydroxy-2-(4-Hydroxyphenyl)Chromen-4-One-Aglycone / Pelargonidin"
"415","...","...","...","...","...","...","...","...","...","...","...","...","65955","769","3841","431.0983581542969","66632","285.0405","0.1894539","146.0579",0,1,0,0,0,0,0,0,0,0,146.0579087,0.339219699696655,1,1," ","Isoorientin / 4-(3,4-Dihydroxyphenyl)-7-Hydroxy-5-[3,4,5-Trihydroxy-6-[(3,4,5-Trihydroxyoxan-2-Yl)Oxymethyl]Oxan-2-Yl]Oxychromen-2-One-Aglycone / Kaempferol / 7,8,3',4'-Tetrahydroxyflavone / Cyanidin-H"
"1781","false","[M-H]-1","-1","NA","547.166809082031","64.7666666666667","0.142","3","227241.644436151","100","F2","","66633","778","3886","547.1668090820312","67103","121.0282","0.02719358","426.1386",1,0,2,0,0,0,0,0,0,0,426.1373405,2.8666310442934,3,0.3333,"Biggest NL (One)","No matched algycone"
"179","...","...","...","...","...","...","...","...","...","...","...","...","66633","778","3886","547.1668090820312","67103","223.0606","0.6887637","324.1062",2,0,0,0,0,0,0,0,0,0,324.1056466,1.63983924772541,2,0.5," ","Sinapic Acid"
"1791","false","[M-H]-1","-1","NA","517.15625","65.0166666666667","0.142","3","227241.644436151","100","F2","","67104","781","3901","517.15625","67497","78.98452","0.02176313","438.1717",0,3,0,0,0,0,0,0,0,0,438.1737261,4.56008425975716,3,0.3333,"Biggest NL (One)","No matched algycone"
"180","...","...","...","...","...","...","...","...","...","...","...","...","67104","781","3901","517.15625","67497","179.0552","0.01814331","338.1011",1,0,0,0,0,0,1,0,0,0,338.1001686,2.74888193341902,2,0.5," ","Mannose / Aldehydo-D-Galactose"
"225","...","...","...","...","...","...","...","...","...","...","...","...","67104","781","3901","517.15625","67497","193.0499","0.09177012","324.1064",2,0,0,0,0,0,0,0,0,0,324.1056466,2.27517888074472,2,0.5," ","5-Hydroxy-Coniferaldehyde / Ferulic Acid / (E)-3-[4-Methoxy-2-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxyphenyl]Prop-2-Enoic Acid-Aglycone"
